,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG_x,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,np:G-xG,G-xG,xG_y,npxG,npxG/Sh,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
30,2022-02-06,15:00,Serie A,Matchweek 24,Sun,Away,W,2,0,Venezia,1.5,0.4,66.0,5554.0,Lorenzo Insigne,4-2-3-1,Maurizio Mariani,Match Report,,0.5,0.5,1.5,1.5,0.09,16.0,6.0,16.4,0.0,0,0,2021,Napoli
31,2022-02-12,18:00,Serie A,Matchweek 25,Sat,Home,D,1,1,Inter,1.5,0.6,48.0,27000.0,Lorenzo Insigne,4-2-3-1,Daniele Doveri,Match Report,,-0.7,-0.5,1.5,0.7,0.06,12.0,3.0,14.7,0.0,1,1,2021,Napoli
33,2022-02-21,19:00,Serie A,Matchweek 26,Mon,Away,D,1,1,Cagliari,1.3,1.7,53.0,12063.0,Kalidou Koulibaly,3-4-3,Maurizio Mariani,Match Report,,-0.3,-0.3,1.3,1.3,0.18,7.0,3.0,17.1,1.0,0,0,2021,Napoli
35,2022-02-27,20:50,Serie A,Matchweek 27,Sun,Away,W,2,1,Lazio,1.0,1.2,55.0,25000.0,Lorenzo Insigne,4-2-3-1,Marco Di Bello,Match Report,,1.0,1.0,1.0,1.0,0.07,15.0,7.0,18.3,0.0,0,0,2021,Napoli
36,2022-03-06,20:45,Serie A,Matchweek 28,Sun,Home,L,0,1,Milan,0.4,1.2,60.0,42000.0,Lorenzo Insigne,4-2-3-1,Daniele Orsato,Match Report,,-0.4,-0.4,0.4,0.4,0.04,9.0,2.0,20.4,0.0,0,0,2021,Napoli
37,2022-03-13,15:00,Serie A,Matchweek 29,Sun,Away,W,2,1,Hellas Verona,1.4,0.6,50.0,18782.0,Kalidou Koulibaly,4-3-3,Daniele Doveri,Match Report,,0.6,0.6,1.4,1.4,0.1,13.0,4.0,16.4,0.0,0,0,2021,Napoli
38,2022-03-19,15:00,Serie A,Matchweek 30,Sat,Home,W,2,1,Udinese,1.0,0.6,63.0,37363.0,Lorenzo Insigne,4-3-3,Francesco Fourneau,Match Report,,1.0,1.0,1.0,1.0,0.05,20.0,8.0,18.7,1.0,0,0,2021,Napoli
39,2022-04-03,15:00,Serie A,Matchweek 31,Sun,Away,W,3,1,Atalanta,1.5,1.4,45.0,17709.0,Lorenzo Insigne,4-2-3-1,Marco Di Bello,Match Report,,1.3,1.5,1.5,0.7,0.15,5.0,4.0,20.6,0.0,1,1,2021,Napoli
40,2022-04-10,15:00,Serie A,Matchweek 32,Sun,Home,L,2,3,Fiorentina,0.9,0.8,50.0,50000.0,Lorenzo Insigne,4-3-3,Maurizio Mariani,Match Report,,1.1,1.1,0.9,0.9,0.06,15.0,3.0,17.3,2.0,0,0,2021,Napoli
41,2022-04-18,19:00,Serie A,Matchweek 33,Mon,Home,D,1,1,Roma,1.2,0.9,49.0,41822.0,Lorenzo Insigne,4-3-3,Marco Di Bello,Match Report,,-0.4,-0.2,1.2,0.4,0.05,8.0,3.0,21.2,0.0,1,1,2021,Napoli
42,2022-04-24,15:00,Serie A,Matchweek 34,Sun,Away,L,2,3,Empoli,1.2,1.9,59.0,10245.0,Lorenzo Insigne,4-2-3-1,Livio Marinelli,Match Report,,0.8,0.8,1.2,1.2,0.07,16.0,2.0,15.2,0.0,0,0,2021,Napoli
43,2022-04-30,15:00,Serie A,Matchweek 35,Sat,Home,W,6,1,Sassuolo,2.2,1.0,53.0,20000.0,Lorenzo Insigne,4-2-3-1,Antonio Rapuano,Match Report,,3.8,3.8,2.2,2.2,0.12,18.0,8.0,13.0,0.0,0,0,2021,Napoli
44,2022-05-07,15:00,Serie A,Matchweek 36,Sat,Away,W,1,0,Torino,1.3,0.7,57.0,14619.0,Lorenzo Insigne,4-2-3-1,Alessandro Prontera,Match Report,,0.5,-0.3,1.3,0.5,0.05,10.0,5.0,19.5,1.0,0,1,2021,Napoli
45,2022-05-15,15:00,Serie A,Matchweek 37,Sun,Home,W,3,0,Genoa,2.4,1.1,66.0,54000.0,Lorenzo Insigne,4-2-3-1,Michael Fabbri,Match Report,,0.4,0.6,2.4,1.6,0.1,16.0,8.0,17.4,0.0,1,1,2021,Napoli
46,2022-05-22,12:30,Serie A,Matchweek 38,Sun,Away,W,3,0,Spezia,1.5,2.0,68.0,10000.0,Faouzi Ghoulam,4-2-3-1,Matteo Marchetti,Match Report,,1.5,1.5,1.5,1.5,0.15,10.0,4.0,20.2,0.0,0,0,2021,Napoli
0,2021-08-22,18:30,Serie A,Matchweek 1,Sun,Away,D,2,2,Udinese,0.8,1.6,56.0,9660.0,Paulo Dybala,4-4-2,Ivan Pezzuto,Match Report,,1.2,1.2,0.8,0.8,0.08,10.0,3.0,16.3,0.0,0,0,2021,Juventus
1,2021-08-28,20:45,Serie A,Matchweek 2,Sat,Home,L,0,1,Empoli,1.2,0.7,54.0,17584.0,Paulo Dybala,4-3-1-2,Davide Ghersini,Match Report,,-1.2,-1.2,1.2,1.2,0.07,18.0,5.0,17.1,0.0,0,0,2021,Juventus
2,2021-09-11,18:00,Serie A,Matchweek 3,Sat,Away,L,1,2,Napoli,1.2,2.1,33.0,23500.0,Giorgio Chiellini,4-3-3,Massimiliano Irrati,Match Report,,-0.2,-0.2,1.2,1.2,0.15,8.0,4.0,14.5,0.0,0,0,2021,Juventus
4,2021-09-19,20:45,Serie A,Matchweek 4,Sun,Home,D,1,1,Milan,1.3,0.8,44.0,18785.0,Giorgio Chiellini,4-4-2,Daniele Doveri,Match Report,,-0.3,-0.3,1.3,1.3,0.15,9.0,4.0,15.9,0.0,0,0,2021,Juventus
5,2021-09-22,18:30,Serie A,Matchweek 5,Wed,Away,W,3,2,Spezia,2.3,1.0,60.0,5700.0,Paulo Dybala,4-4-2,Gianluca Aureliano,Match Report,,0.7,0.7,2.3,2.3,0.09,26.0,9.0,18.1,2.0,0,0,2021,Juventus
6,2021-09-26,12:30,Serie A,Matchweek 6,Sun,Home,W,3,2,Sampdoria,2.7,0.4,50.0,15381.0,Paulo Dybala,4-4-2,Giovanni Ayroldi,Match Report,,0.1,0.3,2.7,1.9,0.13,15.0,5.0,18.7,0.0,1,1,2021,Juventus
8,2021-10-02,18:00,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,1.0,0.9,52.0,12073.0,Giorgio Chiellini,4-4-2,Paolo Valeri,Match Report,,0.0,0.0,1.0,1.0,0.1,10.0,3.0,18.0,0.0,0,0,2021,Juventus
9,2021-10-17,20:45,Serie A,Matchweek 8,Sun,Home,W,1,0,Roma,1.2,1.6,47.0,20239.0,Giorgio Chiellini,4-4-2,Daniele Orsato,Match Report,,-0.2,-0.2,1.2,1.2,0.24,6.0,2.0,13.1,0.0,0,0,2021,Juventus
11,2021-10-24,20:45,Serie A,Matchweek 9,Sun,Away,D,1,1,Inter,1.7,0.8,51.0,56532.0,Giorgio Chiellini,4-4-2,Maurizio Mariani,Match Report,,-0.9,-0.7,1.7,0.9,0.06,15.0,3.0,21.6,1.0,1,1,2021,Juventus
12,2021-10-27,18:30,Serie A,Matchweek 10,Wed,Home,L,1,2,Sassuolo,1.2,1.1,57.0,18288.0,Paulo Dybala,4-4-2,Juan Sacchi,Match Report,,-0.2,-0.2,1.2,1.2,0.09,14.0,2.0,15.5,0.0,0,0,2021,Juventus
13,2021-10-30,18:00,Serie A,Matchweek 11,Sat,Away,L,1,2,Hellas Verona,1.0,1.5,55.0,22314.0,Giorgio Chiellini,4-4-2,Livio Marinelli,Match Report,,0.0,0.0,1.0,1.0,0.07,15.0,4.0,18.8,0.0,0,0,2021,Juventus
15,2021-11-06,18:00,Serie A,Matchweek 12,Sat,Home,W,1,0,Fiorentina,0.6,0.4,50.0,6953.0,Paulo Dybala,4-4-2,Simone Sozza,Match Report,,0.4,0.4,0.6,0.6,0.05,13.0,3.0,16.0,0.0,0,0,2021,Juventus
16,2021-11-20,18:00,Serie A,Matchweek 13,Sat,Away,W,2,0,Lazio,2.4,0.2,42.0,45000.0,Leonardo Bonucci,3-1-4-2,Marco Di Bello,Match Report,,-0.8,-0.4,2.4,0.8,0.09,9.0,3.0,16.3,0.0,2,2,2021,Juventus
18,2021-11-27,18:00,Serie A,Matchweek 14,Sat,Home,L,0,1,Atalanta,0.8,0.5,59.0,29886.0,Paulo Dybala,4-4-2,Giovanni Ayroldi,Match Report,,-0.8,-0.8,0.8,0.8,0.05,15.0,2.0,18.4,1.0,0,0,2021,Juventus
19,2021-11-30,20:45,Serie A,Matchweek 15,Tue,Away,W,2,0,Salernitana,2.1,0.3,73.0,19500.0,Giorgio Chiellini,4-2-3-1,Francesco Fourneau,Match Report,,0.7,-0.1,2.1,1.3,0.08,17.0,7.0,20.2,1.0,0,1,2021,Juventus
20,2021-12-05,20:45,Serie A,Matchweek 16,Sun,Home,W,2,0,Genoa,2.7,0.0,70.0,18458.0,Giorgio Chiellini,4-2-3-1,Daniele Chiffi,Match Report,,-0.7,-0.7,2.7,2.7,0.11,27.0,12.0,18.4,0.0,0,0,2021,Juventus
22,2021-12-11,18:00,Serie A,Matchweek 17,Sat,Away,D,1,1,Venezia,1.9,0.4,60.0,8350.0,Paulo Dybala,4-2-3-1,Paolo Valeri,Match Report,,-0.9,-0.9,1.9,1.9,0.1,20.0,6.0,17.3,1.0,0,0,2021,Juventus
23,2021-12-18,18:00,Serie A,Matchweek 18,Sat,Away,W,2,0,Bologna,0.9,0.5,43.0,22394.0,Leonardo Bonucci,4-3-3,Daniele Orsato,Match Report,,1.1,1.1,0.9,0.9,0.08,11.0,7.0,17.4,0.0,0,0,2021,Juventus
24,2021-12-21,20:45,Serie A,Matchweek 19,Tue,Home,W,2,0,Cagliari,1.2,1.1,63.0,11197.0,Leonardo Bonucci,4-3-3,Federico Dionisi,Match Report,,0.8,0.8,1.2,1.2,0.08,15.0,4.0,13.3,0.0,0,0,2021,Juventus
25,2022-01-06,20:45,Serie A,Matchweek 20,Thu,Home,D,1,1,Napoli,1.5,0.9,44.0,19301.0,Juan Cuadrado,4-3-3,Simone Sozza,Match Report,,-0.5,-0.5,1.5,1.5,0.07,22.0,5.0,18.3,2.0,0,0,2021,Juventus
26,2022-01-09,18:30,Serie A,Matchweek 21,Sun,Away,W,4,3,Roma,1.0,2.1,47.0,33178.0,Paulo Dybala,4-4-1-1,Davide Massa,Match Report,,3.0,3.0,1.0,1.0,0.07,14.0,5.0,21.4,1.0,0,0,2021,Juventus
28,2022-01-15,20:45,Serie A,Matchweek 22,Sat,Home,W,2,0,Udinese,1.2,0.6,66.0,5000.0,Paulo Dybala,4-4-2,Antonio Giua,Match Report,,0.8,0.8,1.2,1.2,0.08,14.0,4.0,19.1,1.0,0,0,2021,Juventus
30,2022-01-23,20:45,Serie A,Matchweek 23,Sun,Away,D,0,0,Milan,0.4,0.6,53.0,5000.0,Giorgio Chiellini,4-4-2,Marco Di Bello,Match Report,,-0.4,-0.4,0.4,0.4,0.05,8.0,0.0,17.5,0.0,0,0,2021,Juventus
31,2022-02-06,20:45,Serie A,Matchweek 24,Sun,Home,W,2,0,Hellas Verona,1.6,0.6,47.0,17016.0,Giorgio Chiellini,4-3-3,Luca Massimi,Match Report,,0.4,0.4,1.6,1.6,0.15,11.0,8.0,18.3,0.0,0,0,2021,Juventus
33,2022-02-13,20:45,Serie A,Matchweek 25,Sun,Away,D,1,1,Atalanta,0.7,2.4,48.0,9731.0,Paulo Dybala,4-3-3,Maurizio Mariani,Match Report,,0.3,0.3,0.7,0.7,0.05,15.0,6.0,18.2,0.0,0,0,2021,Juventus
34,2022-02-18,20:45,Serie A,Matchweek 26,Fri,Home,D,1,1,Torino,0.6,0.7,46.0,20132.0,Paulo Dybala,4-3-2-1,Davide Massa,Match Report,,0.4,0.4,0.6,0.6,0.05,12.0,3.0,17.8,1.0,0,0,2021,Juventus
36,2022-02-26,18:00,Serie A,Matchweek 27,Sat,Away,W,3,2,Empoli,2.2,1.2,47.0,11890.0,Leonardo Bonucci,4-4-2,Fabio Maresca,Match Report,,0.8,0.8,2.2,2.2,0.18,12.0,5.0,14.0,0.0,0,0,2021,Juventus
38,2022-03-06,18:00,Serie A,Matchweek 28,Sun,Home,W,1,0,Spezia,1.3,0.7,56.0,26475.0,Juan Cuadrado,4-4-2,Francesco Fourneau,Match Report,,-0.3,-0.3,1.3,1.3,0.13,10.0,3.0,16.1,0.0,0,0,2021,Juventus
39,2022-03-12,18:00,Serie A,Matchweek 29,Sat,Away,W,3,1,Sampdoria,1.3,1.5,51.0,16644.0,Juan Cuadrado,4-4-2,Paolo Valeri,Match Report,,0.5,0.7,1.3,0.5,0.09,5.0,2.0,14.8,0.0,1,1,2021,Juventus
41,2022-03-20,15:00,Serie A,Matchweek 30,Sun,Home,W,2,0,Salernitana,1.7,0.6,57.0,29186.0,Giorgio Chiellini,4-4-2,Giovanni Ayroldi,Match Report,,0.3,0.3,1.7,1.7,0.14,12.0,7.0,11.8,0.0,0,0,2021,Juventus
42,2022-04-03,20:45,Serie A,Matchweek 31,Sun,Home,L,0,1,Inter,1.8,1.0,54.0,40093.0,Giorgio Chiellini,4-2-3-1,Massimiliano Irrati,Match Report,,-1.8,-1.8,1.8,1.8,0.08,22.0,5.0,18.8,3.0,0,0,2021,Juventus
43,2022-04-09,20:45,Serie A,Matchweek 32,Sat,Away,W,2,1,Cagliari,1.1,0.2,60.0,13437.0,Giorgio Chiellini,4-4-2,Daniele Chiffi,Match Report,,0.9,0.9,1.1,1.1,0.06,20.0,6.0,19.2,1.0,0,0,2021,Juventus
44,2022-04-16,18:30,Serie A,Matchweek 33,Sat,Home,D,1,1,Bologna,2.4,1.1,51.0,36107.0,Giorgio Chiellini,4-3-3,Juan Sacchi,Match Report,,-1.4,-1.4,2.4,2.4,0.11,23.0,4.0,17.2,2.0,0,0,2021,Juventus
46,2022-04-25,20:45,Serie A,Matchweek 34,Mon,Away,W,2,1,Sassuolo,0.7,1.4,37.0,20000.0,Paulo Dybala,4-4-2,Fabio Maresca,Match Report,,1.3,1.3,0.7,0.7,0.07,10.0,5.0,20.4,1.0,0,0,2021,Juventus
47,2022-05-01,12:30,Serie A,Matchweek 35,Sun,Home,W,2,1,Venezia,1.6,0.6,50.0,39203.0,Leonardo Bonucci,3-5-2,Alessandro Prontera,Match Report,,0.4,0.4,1.6,1.6,0.1,17.0,4.0,16.2,0.0,0,0,2021,Juventus
48,2022-05-06,21:00,Serie A,Matchweek 36,Fri,Away,L,1,2,Genoa,1.5,3.2,54.0,18762.0,Paulo Dybala,4-3-3,Simone Sozza,Match Report,,-0.5,-0.5,1.5,1.5,0.13,12.0,4.0,17.2,0.0,0,0,2021,Juventus
50,2022-05-16,20:45,Serie A,Matchweek 37,Mon,Home,D,2,2,Lazio,0.7,1.1,37.0,40515.0,Giorgio Chiellini,4-2-3-1,Giovanni Ayroldi,Match Report,,1.3,1.3,0.7,0.7,0.18,4.0,2.0,12.9,0.0,0,0,2021,Juventus
51,2022-05-21,20:45,Serie A,Matchweek 38,Sat,Away,L,0,2,Fiorentina,0.1,1.6,34.0,34831.0,Giorgio Chiellini,3-5-2,Daniele Chiffi,Match Report,,-0.1,-0.1,0.1,0.1,0.06,1.0,0.0,16.4,0.0,0,0,2021,Juventus
0,2021-08-21,20:45,Serie A,Matchweek 1,Sat,Away,W,3,1,Empoli,1.5,1.2,54.0,3655.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,1.3,1.5,1.5,0.7,0.1,7.0,3.0,14.5,0.0,1,1,2021,Lazio
1,2021-08-28,18:30,Serie A,Matchweek 2,Sat,Home,W,6,1,Spezia,3.0,1.0,61.0,20000.0,Ciro Immobile,4-3-3,Federico Dionisi,Match Report,,3.8,3.0,3.0,2.2,0.13,17.0,9.0,19.2,2.0,0,1,2021,Lazio
2,2021-09-12,18:00,Serie A,Matchweek 3,Sun,Away,L,0,2,Milan,0.3,2.9,53.0,36207.0,Ciro Immobile,4-3-3,Daniele Chiffi,Match Report,,-0.3,-0.3,0.3,0.3,0.03,8.0,5.0,19.8,0.0,0,0,2021,Lazio
4,2021-09-19,18:00,Serie A,Matchweek 4,Sun,Home,D,2,2,Cagliari,2.0,1.5,73.0,20000.0,Ciro Immobile,4-3-3,Davide Ghersini,Match Report,,0.0,0.0,2.0,2.0,0.07,28.0,10.0,17.0,1.0,0,0,2021,Lazio
5,2021-09-23,18:30,Serie A,Matchweek 5,Thu,Away,D,1,1,Torino,0.9,0.8,55.0,8646.0,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,,-0.1,0.1,0.9,0.1,0.03,5.0,1.0,30.3,0.0,1,1,2021,Lazio
6,2021-09-26,18:00,Serie A,Matchweek 6,Sun,Home,W,3,2,Roma,1.8,2.1,49.0,32000.0,Ciro Immobile,4-3-3,Marco Guida,Match Report,,1.2,1.2,1.8,1.8,0.18,10.0,4.0,12.6,0.0,0,0,2021,Lazio
8,2021-10-03,12:30,Serie A,Matchweek 7,Sun,Away,L,0,3,Bologna,0.6,0.6,59.0,12975.0,Sergej Milinković-Savić,4-3-3,Davide Massa,Match Report,,-0.6,-0.6,0.6,0.6,0.08,8.0,4.0,18.4,0.0,0,0,2021,Lazio
9,2021-10-16,18:00,Serie A,Matchweek 8,Sat,Home,W,3,1,Inter,2.5,1.4,52.0,42000.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,0.3,0.5,2.5,1.7,0.1,18.0,7.0,17.6,1.0,1,1,2021,Lazio
11,2021-10-24,15:00,Serie A,Matchweek 9,Sun,Away,L,1,4,Hellas Verona,0.8,2.8,51.0,13953.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,0.2,0.2,0.8,0.8,0.09,9.0,4.0,15.7,1.0,0,0,2021,Lazio
12,2021-10-27,20:45,Serie A,Matchweek 10,Wed,Home,W,1,0,Fiorentina,0.8,0.5,49.0,7000.0,Ciro Immobile,4-3-3,Giovanni Ayroldi,Match Report,,0.2,0.2,0.8,0.8,0.16,5.0,2.0,14.6,0.0,0,0,2021,Lazio
13,2021-10-30,15:00,Serie A,Matchweek 11,Sat,Away,D,2,2,Atalanta,1.4,0.8,43.0,11981.0,Ciro Immobile,4-3-3,Marco Guida,Match Report,,0.6,0.6,1.4,1.4,0.18,8.0,5.0,15.1,0.0,0,0,2021,Lazio
15,2021-11-07,18:00,Serie A,Matchweek 12,Sun,Home,W,3,0,Salernitana,1.6,0.3,60.0,25000.0,Ciro Immobile,4-3-3,Antonio Rapuano,Match Report,,1.4,1.4,1.6,1.6,0.1,16.0,5.0,19.0,2.0,0,0,2021,Lazio
16,2021-11-20,18:00,Serie A,Matchweek 13,Sat,Home,L,0,2,Juventus,0.2,2.4,58.0,45000.0,Sergej Milinković-Savić,4-3-3,Marco Di Bello,Match Report,,-0.2,-0.2,0.2,0.2,0.03,8.0,1.0,24.7,1.0,0,0,2021,Lazio
18,2021-11-28,20:45,Serie A,Matchweek 14,Sun,Away,L,0,4,Napoli,0.3,1.0,39.0,36000.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,-0.3,-0.3,0.3,0.3,0.04,6.0,2.0,17.3,0.0,0,0,2021,Lazio
19,2021-12-02,20:45,Serie A,Matchweek 15,Thu,Home,D,4,4,Udinese,1.5,1.5,62.0,7000.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,2.5,2.5,1.5,1.5,0.12,13.0,5.0,17.1,0.0,0,0,2021,Lazio
20,2021-12-05,18:00,Serie A,Matchweek 16,Sun,Away,W,3,1,Sampdoria,0.9,1.3,51.0,5883.0,Ciro Immobile,4-3-3,Michael Fabbri,Match Report,,2.1,2.1,0.9,0.9,0.15,6.0,5.0,12.9,0.0,0,0,2021,Lazio
22,2021-12-12,18:00,Serie A,Matchweek 17,Sun,Away,L,1,2,Sassuolo,0.4,1.0,41.0,5100.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,0.6,0.6,0.4,0.4,0.07,6.0,2.0,20.4,1.0,0,0,2021,Lazio
23,2021-12-17,18:30,Serie A,Matchweek 18,Fri,Home,W,3,1,Genoa,1.5,0.2,55.0,6000.0,Sergej Milinković-Savić,4-3-3,Luca Pairetto,Match Report,,1.5,1.5,1.5,1.5,0.14,11.0,5.0,15.7,0.0,0,0,2021,Lazio
24,2021-12-22,16:30,Serie A,Matchweek 19,Wed,Away,W,3,1,Venezia,1.4,0.8,53.0,7894.0,Sergej Milinković-Savić,4-3-3,Fabio Maresca,Match Report,,1.6,1.6,1.4,1.4,0.19,7.0,4.0,17.9,0.0,0,0,2021,Lazio
25,2022-01-06,14:30,Serie A,Matchweek 20,Thu,Home,D,3,3,Empoli,2.8,1.9,62.0,23000.0,Ciro Immobile,4-3-3,Antonio Giua,Match Report,,1.0,0.2,2.8,2.0,0.1,22.0,8.0,18.8,1.0,0,1,2021,Lazio
26,2022-01-09,20:45,Serie A,Matchweek 21,Sun,Away,L,1,2,Inter,1.6,2.0,40.0,29471.0,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,-0.6,-0.6,1.6,1.6,0.31,5.0,2.0,8.8,0.0,0,0,2021,Lazio
27,2022-01-15,18:00,Serie A,Matchweek 22,Sat,Away,W,3,0,Salernitana,1.9,0.3,73.0,2559.0,Ciro Immobile,4-3-3,Rosario Abisso,Match Report,,1.1,1.1,1.9,1.9,0.12,15.0,8.0,16.2,0.0,0,0,2021,Lazio
29,2022-01-22,20:45,Serie A,Matchweek 23,Sat,Home,D,0,0,Atalanta,0.4,0.4,61.0,4000.0,Ciro Immobile,4-3-3,Simone Sozza,Match Report,,-0.4,-0.4,0.4,0.4,0.05,9.0,1.0,21.4,0.0,0,0,2021,Lazio
30,2022-02-05,20:45,Serie A,Matchweek 24,Sat,Away,W,3,0,Fiorentina,2.5,0.7,50.0,17181.0,Ciro Immobile,4-3-3,Daniele Orsato,Match Report,,-0.5,-0.5,2.5,2.5,0.24,12.0,7.0,13.5,0.0,0,0,2021,Lazio
32,2022-02-12,15:00,Serie A,Matchweek 25,Sat,Home,W,3,0,Bologna,1.9,0.7,56.0,22000.0,Ciro Immobile,4-3-3,Marco Piccinini,Match Report,,0.9,1.1,1.9,1.1,0.1,11.0,5.0,15.7,0.0,1,1,2021,Lazio
34,2022-02-20,20:45,Serie A,Matchweek 26,Sun,Away,D,1,1,Udinese,1.4,1.9,59.0,10799.0,Sergej Milinković-Savić,4-3-3,Luca Massimi,Match Report,,-0.4,-0.4,1.4,1.4,0.14,10.0,2.0,14.3,0.0,0,0,2021,Lazio
36,2022-02-27,20:50,Serie A,Matchweek 27,Sun,Home,L,1,2,Napoli,1.2,1.0,45.0,25000.0,Ciro Immobile,4-3-3,Marco Di Bello,Match Report,,-0.2,-0.2,1.2,1.2,0.1,13.0,8.0,15.4,0.0,0,0,2021,Lazio
37,2022-03-05,20:45,Serie A,Matchweek 28,Sat,Away,W,3,0,Cagliari,2.7,0.6,55.0,10873.0,Ciro Immobile,4-3-3,Fabio Maresca,Match Report,,0.1,0.3,2.7,1.9,0.16,12.0,4.0,18.0,0.0,1,1,2021,Lazio
38,2022-03-14,20:45,Serie A,Matchweek 29,Mon,Home,W,1,0,Venezia,1.4,0.5,66.0,18000.0,Ciro Immobile,4-3-3,Gianluca Manganiello,Match Report,,-0.6,-0.4,1.4,0.6,0.07,9.0,0.0,19.1,1.0,1,1,2021,Lazio
39,2022-03-20,18:00,Serie A,Matchweek 30,Sun,Away,L,0,3,Roma,0.5,2.7,66.0,51932.0,Ciro Immobile,4-3-3,Massimiliano Irrati,Match Report,,-0.5,-0.5,0.5,0.5,0.06,9.0,3.0,23.9,1.0,0,0,2021,Lazio
40,2022-04-02,18:00,Serie A,Matchweek 31,Sat,Home,W,2,1,Sassuolo,2.1,1.9,53.0,15000.0,Ciro Immobile,4-3-3,Antonio Rapuano,Match Report,,-0.1,-0.1,2.1,2.1,0.15,14.0,5.0,14.2,0.0,0,0,2021,Lazio
41,2022-04-10,12:30,Serie A,Matchweek 32,Sun,Away,W,4,1,Genoa,1.5,0.7,57.0,16756.0,Ciro Immobile,4-3-2-1,Gianluca Manganiello,Match Report,,2.5,2.5,1.5,1.5,0.09,17.0,11.0,16.8,0.0,0,0,2021,Lazio
42,2022-04-16,20:45,Serie A,Matchweek 33,Sat,Home,D,1,1,Torino,0.6,1.1,48.0,25000.0,Ciro Immobile,4-3-3,Alessandro Prontera,Match Report,,0.4,0.4,0.6,0.6,0.06,10.0,4.0,17.5,0.0,0,0,2021,Lazio
43,2022-04-24,20:45,Serie A,Matchweek 34,Sun,Home,L,1,2,Milan,0.5,2.1,47.0,25000.0,Ciro Immobile,4-3-3,Marco Guida,Match Report,,0.5,0.5,0.5,0.5,0.08,7.0,2.0,20.8,0.0,0,0,2021,Lazio
44,2022-04-30,20:45,Serie A,Matchweek 35,Sat,Away,W,4,3,Spezia,2.9,1.3,70.0,8750.0,Ciro Immobile,4-3-3,Luca Pairetto,Match Report,,-0.2,0.1,2.9,2.2,0.11,21.0,8.0,17.1,0.0,1,1,2021,Lazio
45,2022-05-07,20:45,Serie A,Matchweek 36,Sat,Home,W,2,0,Sampdoria,1.6,1.0,61.0,31000.0,Ciro Immobile,4-3-3,Davide Massa,Match Report,,0.4,0.4,1.6,1.6,0.1,16.0,10.0,17.6,0.0,0,0,2021,Lazio
46,2022-05-16,20:45,Serie A,Matchweek 37,Mon,Away,D,2,2,Juventus,1.1,0.7,63.0,40515.0,Sergej Milinković-Savić,4-3-3,Giovanni Ayroldi,Match Report,,-0.1,-0.1,1.1,1.1,0.06,18.0,7.0,20.9,1.0,0,0,2021,Lazio
47,2022-05-21,20:45,Serie A,Matchweek 38,Sat,Home,D,3,3,Hellas Verona,3.2,2.1,54.0,50000.0,Sergej Milinković-Savić,4-3-3,Andrea Colombo,Match Report,,-0.2,-0.2,3.2,3.2,0.2,19.0,7.0,14.9,1.0,0,0,2021,Lazio
1,2021-08-22,20:45,Serie A,Matchweek 1,Sun,Home,W,3,1,Fiorentina,2.7,1.3,42.0,26997.0,Lorenzo Pellegrini,4-2-3-1,Luca Pairetto,Match Report,,0.3,0.3,2.7,2.7,0.25,11.0,6.0,14.8,0.0,0,0,2021,Roma
3,2021-08-29,20:45,Serie A,Matchweek 2,Sun,Away,W,4,0,Salernitana,2.1,0.3,79.0,12500.0,Lorenzo Pellegrini,4-2-3-1,Rosario Abisso,Match Report,,1.9,1.9,2.1,2.1,0.07,28.0,9.0,18.3,0.0,0,0,2021,Roma
4,2021-09-12,20:45,Serie A,Matchweek 3,Sun,Home,W,2,1,Sassuolo,2.1,2.0,49.0,29604.0,Lorenzo Pellegrini,4-2-3-1,Simone Sozza,Match Report,,-0.1,-0.1,2.1,2.1,0.13,17.0,6.0,15.2,0.0,0,0,2021,Roma
6,2021-09-19,18:00,Serie A,Matchweek 4,Sun,Away,L,2,3,Hellas Verona,0.7,0.9,47.0,10148.0,Lorenzo Pellegrini,4-2-3-1,Fabio Maresca,Match Report,,0.3,0.3,0.7,0.7,0.04,15.0,2.0,20.4,0.0,0,0,2021,Roma
7,2021-09-23,20:45,Serie A,Matchweek 5,Thu,Home,W,1,0,Udinese,1.9,0.6,51.0,29593.0,Lorenzo Pellegrini,4-2-3-1,Antonio Rapuano,Match Report,,-0.9,-0.9,1.9,1.9,0.16,12.0,2.0,18.9,0.0,0,0,2021,Roma
8,2021-09-26,18:00,Serie A,Matchweek 6,Sun,Away,L,2,3,Lazio,2.1,1.8,51.0,32000.0,Gianluca Mancini,4-2-3-1,Marco Guida,Match Report,,-0.4,-0.1,2.1,1.4,0.07,19.0,7.0,14.7,0.0,1,1,2021,Roma
